table,column,human_name,used_count,total_w2,used_pct,grade,should,notes,date_filter
DogsDB,GrowerId,Grower Id,0,29042,0.00,A,should,,created_at
DogsDB,CurrentOwnerId,Current Owner Id,0,29042,0.00,A,should,,created_at
DogsDB,OwnershipDate,Ownership Date,25,29042,0.09,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
DogsDB,FatherSAGIR,Father Sagir,22110,29042,76.13,B,should,,created_at
DogsDB,MotherSAGIR,Mother Sagir,22094,29042,76.08,B,should,,created_at
DogsDB,ShowsCount,Shows Count,1,29042,0.00,F,shouldn't,,created_at
DogsDB,Pelvis,Pelvis,792,29042,2.73,F,shouldn't,,created_at
DogsDB,Notes,Notes,2124,29042,7.31,D,shouldn't,,created_at
DogsDB,ImportNumber,Import Number,14758,29042,50.82,C,consider,,created_at
DogsDB,SCH,Sch,0,29042,0.00,F,shouldn't,,created_at
DogsDB,RemarkCode,Remark Code,0,29042,0.00,F,shouldn't,,created_at
DogsDB,GenderID,Gender Id,29042,29042,100.00,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,SizeID,Size Id,23,29042,0.08,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,ProfileImage,Profile Image,0,29042,0.00,F,shouldn't,,created_at
DogsDB,GroupID,Group Id,1,29042,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,IsMagPass,Is Mag Pass,39,29042,0.13,F,shouldn't,,created_at
DogsDB,MagDate,Mag Date,0,29042,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
DogsDB,MagJudge,Mag Judge,0,29042,0.00,F,shouldn't,,created_at
DogsDB,MagPlace,Mag Place,0,29042,0.00,F,shouldn't,,created_at
DogsDB,DnaID,Dna Id,980,29042,3.37,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,Chip,Chip,17005,29042,58.55,C,consider,,created_at
DogsDB,GidulShowType,Gidul Show Type,4926,29042,16.96,D,shouldn't,,created_at
DogsDB,pedigree_color,Pedigree Color,41,29042,0.14,F,shouldn't,,created_at
DogsDB,PedigreeNotes,Pedigree Notes,9221,29042,31.75,C,consider,,created_at
DogsDB,HealthNotes,Health Notes,0,29042,0.00,F,shouldn't,,created_at
DogsDB,Status,Status,333,29042,1.15,F,shouldn't,,created_at
DogsDB,Image2,Image2,0,29042,0.00,F,shouldn't,,created_at
DogsDB,TitleName,Title Name,22,29042,0.08,F,shouldn't,,created_at
DogsDB,Breeder_Name,Breeder Name,1119,29042,3.85,F,shouldn't,,created_at
DogsDB,BreedID,Breed Id,3,29042,0.01,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,sheger_id,Sheger Id,14269,29042,49.13,A,should,,created_at
DogsDB,sagir_prefix,Sagir Prefix,29036,29042,99.98,A,should,,created_at
DogsDB,created_at,Created At,29042,29042,100.00,A,should,,created_at
DogsDB,updated_at,Updated At,29042,29042,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
DogsDB,deleted_at,Deleted At,226,29042,0.78,F,shouldn't,,created_at
DogsDB,encoding,Encoding,246,29042,0.85,F,shouldn't,,created_at
DogsDB,is_correct,Is Correct,370,29042,1.27,F,shouldn't,,created_at
DogsDB,message,Message,474,29042,1.63,F,shouldn't,,created_at
DogsDB,message_test,Message Test,0,29042,0.00,F,shouldn't,,created_at
DogsDB,not_relevant,Not Relevant,161,29042,0.55,F,shouldn't,,created_at
DogsDB,IsMagPass_2,Is Mag Pass 2,205,29042,0.71,F,shouldn't,,created_at
DogsDB,MagDate_2,Mag Date 2,0,29042,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
DogsDB,MagJudge_2,Mag Judge 2,0,29042,0.00,F,shouldn't,,created_at
DogsDB,MagPlace_2,Mag Place 2,0,29042,0.00,F,shouldn't,,created_at
DogsDB,PedigreeNotes_2,Pedigree Notes 2,0,29042,0.00,F,shouldn't,,created_at
DogsDB,Notes_2,Notes 2,0,29042,0.00,F,shouldn't,,created_at
DogsDB,red_pedigree,Red Pedigree,23441,29042,80.71,B,should,,created_at
DogsDB,Chip_2,Chip 2,40,29042,0.14,F,shouldn't,,created_at
DogsDB,Foreign_Breeder_name,Foreign Breeder Name,2,29042,0.01,F,shouldn't,,created_at
DogsDB,Breeding_ManagerID,Breeding Manager Id,409,29042,1.41,A,should,Likely foreign key; verify relation mapping.,created_at
DogsInfo,id,Id,1911,1911,100.00,A,should,,created_at
DogsInfo,dog_name,Dog Name,1911,1911,100.00,A,should,,created_at
DogsInfo,dog_import_sagir,Dog Import Sagir,1911,1911,100.00,A,should,,created_at
DogsInfo,dog_birth_date,Dog Birth Date,22,1911,1.15,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
DogsInfo,dog_breed,Dog Breed,1907,1911,99.79,A,should,,created_at
